NAME	CATEGORY	AFFECTS	MAX_TIMES_APPLIED	COST	AFFECT_AMOUNT	REQUIRED_EXPERTISE
s	s	s	i	i	i	s
<<<<<<< HEAD
strength	attributes	strength_modified	10	1	10	
constitution	attributes	constitution_modified	10	1	10	
stamina	attributes	stamina_modified	10	1	10	
precision	attributes	precision_modified	10	1	10	
agility	attributes	agility_modified	10	1	10	
luck	attributes	luck_modified	10	1	10	
kinetic	resistances	expertise_innate_protection_kinetic	5	1	250	
energy	resistances	expertise_innate_protection_energy	5	1	250	
elemental	resistances	elemental_resistance	5	1	250	
crafting	trade	crafting_assembly	5	2	1	
crafting_success	trade	crafting_critical_success_bonus	2	5	1	
hand_sampling	trade	expertise_resource_sampling_increase	5	2	2	harvest_faire  
critical_hit	combat	expertise_critical_niche_all	1	5	3	
critical_hit_defense	combat	expertise_critical_hit_reduction	1	5	3	
dodge	combat	expertise_glancing_blow_all	1	5	3	
action_cost_reduction	combat	expertise_action_all	1	5	5	
healing	misc	expertise_dot_absorption_all	5	2	4	holism
healer	misc	expertise_healing_all	5	2	3	holism
reactive_go_with_the_flow	misc	movement_speed	5	2	5	go_with_the_flow 
reactive_second_chance	misc	reactive_second_chance	4	2	2	second_chance
harvest_faire	misc	expertise_harvester_collection_increase	5	2	1	harvest_faire  
flush_with_success	misc	flush_with_success	5	2	3	flush_with_success  
=======
strength	attributes	strength_modified	8	1	25	
constitution	attributes	constitution_modified	8	1	25	
stamina	attributes	stamina_modified	8	1	25	
precision	attributes	precision_modified	8	1	25	
agility	attributes	agility_modified	8	1	25	
luck	attributes	luck_modified	8	1	25	
kinetic	resistances	expertise_innate_protection_kinetic	8	1	1000	
energy	resistances	expertise_innate_protection_energy	8	1	1000	
elemental	resistances	elemental_resistance	8	1	1000	
crafting	trade	food_assembly	4	1	1	
crafting_success	trade	crafting_critical_success_bonus	4	1	1	
hand_sampling	trade	expertise_resource_sampling_increase	8	1	3	
critical_hit	combat	expertise_critical_niche_all	8	1	3	
critical_hit_defense	combat	expertise_critical_hit_reduction	8	1	3	
dodge	combat	expertise_glancing_blow_all	8	1	3	
action_cost_reduction	combat	expertise_action_all	8	1	3	
healing	misc	expertise_dot_absorption_all	8	1	3	
healer	misc	expertise_healing_all	8	1	3	
reactive_go_with_the_flow	misc	movement_speed	8	1	3	
reactive_second_chance	misc	reactive_second_chance	8	1	3	
harvest_faire	misc	expertise_harvester_collection_increase	8	1	3	
flush_with_success	misc	flush_with_success	8	1	5	
>>>>>>> b69511aac62f968d19305ea6fd12278ad6f3b87c
